ID,mvs,v1,v2,v3,v4,v5,ts1,ts2,ts3,ts4,ts5,p1,p2,p3,p4,p5
1,Sherlock,0,0,14,21,15,10,7,14,13,6,17,15,7,9,2
2,Everybody,8,12,11,11,8,7,4,2,13,24,16,9,10,12,3
3,View,13,12,4,10,11,7,14,13,8,8,6,10,17,9,8
4,Tell Me What To Do,15,6,14,4,11,10,9,9,12,10,3,10,7,10,20
5,Good Evening,14,20,7,4,5,16,16,12,4,2,8,6,9,10,17
